gold_id,case_id,conversation_id,customer_message,context,proposed_status,proposed_areas,proposed_intents,proposed_primary_intent,proposed_states,proposed_should_escalate,human_status,human_areas,human_intents,human_primary_intent,human_states,human_should_escalate,human_escalation_reason,human_notes,review_flags,assistant_outcome,review_priority,assistant_status_recommendation,assistant_areas_recommendation,assistant_intents_recommendation,assistant_primary_intent_recommendation,assistant_states_recommendation,assistant_should_escalate_recommendation,assistant_escalation_reason_recommendation,assistant_notes_recommendation,human_action,adjudication_status
gold_0001,amazon_case_0055972,1391472,rude & disrespectful delivery person who refused 2 deliver to the mentioned address until someone comes down and collects it.(1/2),"CUSTOMER: rude & disrespectful delivery person who refused 2 deliver to the mentioned address until someone comes down and collects it.(1/2)
BRAND: I apologize for the inappropriate behavior of the delivery agent.1/3
BRAND: I've noted your comments and have forwarded your feedback internally. 2/3",NORMAL,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,NORMAL,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0002,amazon_case_0132156,464339,worst experience .your authorized agent refused to deliver my parcel at address.He want me to pickup from store. So canceled order from you .,CUSTOMER: worst experience .your authorized agent refused to deliver my parcel at address.He want me to pickup from store. So canceled order from you .,NORMAL,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,NORMAL,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0003,amazon_case_0042701,1109499,So Amazon decided an order I placed was suspicious and locked my account. Password reset appears to work but still can't log in. Ugh.,CUSTOMER: So Amazon decided an order I placed was suspicious and locked my account. Password reset appears to work but still can't log in. Ugh.,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0004,amazon_case_0063275,1402830,"Unable to access my Amazon Account, contacted Customer care more than 5 times, still no luck, can some one help me here!","CUSTOMER: Unable to access my Amazon Account, contacted Customer care more than 5 times, still no luck, can some one help me here!",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0005,amazon_case_0058654,609461,I can not access my amazon account.I have not made any request to change my password and email.But they have been changed.What to do,CUSTOMER: I can not access my amazon account.I have not made any request to change my password and email.But they have been changed.What to do,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0006,amazon_case_0027359,1089221,"account hacked , my email account linked with amazon changed without authorisation. Need immediate help.","CUSTOMER: account hacked , my email account linked with amazon changed without authorisation. Need immediate help.
BRAND: Sorry to know about this. We take these things very seriously. Kindly report this to our support 1/2",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Keep current v1 label; compromised-account behavior is a taxonomy-gap signal for v2.,ACCOUNT_COMPROMISE_REVIEW,,TAXONOMY_REVIEW,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Keep current v1 label; compromised-account behavior is a taxonomy-gap signal for v2.,Decide taxonomy-gap handling before final gold lock.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0007,amazon_case_0163147,254636,my amazon account got hacked wtf,CUSTOMER: my amazon account got hacked wtf,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Keep current v1 label; hacked account requires human escalation.,ACCOUNT_COMPROMISE_REVIEW,,TAXONOMY_REVIEW,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Keep current v1 label; hacked account requires human escalation.,Decide taxonomy-gap handling before final gold lock.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0008,amazon_case_0057021,1130558,how can I get my account back???? Someone hacked my amaZon is there a number I can contact you.,CUSTOMER: how can I get my account back???? Someone hacked my amaZon is there a number I can contact you.,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Keep current v1 label; account takeover is not separately modeled in v1.,ACCOUNT_COMPROMISE_REVIEW,,TAXONOMY_REVIEW,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Keep current v1 label; account takeover is not separately modeled in v1.,Decide taxonomy-gap handling before final gold lock.,PRIORITY_CASE_ASSISTANT_ADJUDICATED_NEEDS_HUMAN_CONFIRMATION
gold_0009,amazon_case_0048011,331572,I can't sign in because my account has been locked... That's what I'm trying to solve,"CUSTOMER: My account was blocked. Respond to the address verification email to solve it, says it does not accept incoming emails. Help pls
BRAND: I'm sorry to see this! We'd like to help. Will you confirm which Amazon marketplace your account is under? (.com, .co.uk, .de)
CUSTOMER: Co.uk
BRAND: Thanks! Have you received any e-mails from our Account Specialists asking for information? We'd like to help!
CUSTOMER: Yes, received an email asking me to respond with correct billing address. Did respond to it, but they do not seem to accept incoming emails
BRAND: How did they request that the information be sent, was it requested via fax?
CUSTOMER: I suppose by email: ""Please respond to this message at your earliest convenience and provide us with..."". Guess it is respond by email
BRAND: There may be a specific address they'd like the information sent to. Is an address mentioned towards the bottom of the e-mail?
CUSTOMER: No
BRAND: We want to investigate this further with you. Please reach out to us using this secure link: <URL>
CUSTOMER: I can't sign in because my account has been locked... That's what I'm trying to solve",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
gold_0010,amazon_case_0073376,1420095,"My amazon account is locked since 27 of October, I sent four faxes, about 12 emails and called 9 times already. The account specialist send me the same email over and over again. Im tired of this, loosing prime days and I just have about 20 more days in the US.. Thanks .","CUSTOMER: My amazon account is locked since 27 of October, I sent four faxes, about 12 emails and called 9 times already. The account specialist send me the same email over and over again. Im tired of this, loosing prime days and I just have about 20 more days in the US.. Thanks .",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,,Assistant-reviewed pre-annotation; human sign-off still required.,,,NORMAL,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,,Assistant-reviewed pre-annotation; human sign-off still required.,Verify recommendation; accept/correct.,ASSISTANT_RECOMMENDATION_PENDING_HUMAN_SIGNOFF
