gold_id,case_id,conversation_id,customer_id,customer_message,classification_status,is_multi_intent,areas,intents,primary_intent,states,should_escalate,escalation_reason,difficulty,sampling_category,annotator_notes
gold_0001,amazon_case_0055972,1391472,443630,rude & disrespectful delivery person who refused 2 deliver to the mentioned address until someone comes down and collects it.(1/2),NORMAL,False,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,CARRIER_MISCONDUCT_SEVERE,HARD,HIGH_RISK,Delivery driver refused delivery to customer address with abusive conduct.
gold_0002,amazon_case_0132156,464339,225410,worst experience .your authorized agent refused to deliver my parcel at address.He want me to pickup from store. So canceled order from you .,NORMAL,False,DELIVERY_AND_FULFILLMENT,CARRIER_FEEDBACK_AND_INSTRUCTIONS,CARRIER_FEEDBACK_AND_INSTRUCTIONS,INITIAL_INQUIRY,True,CARRIER_MISCONDUCT_SEVERE,HARD,HIGH_RISK,Authorized delivery agent refused to deliver parcel to residential address.
gold_0003,amazon_case_0042701,1109499,267060,So Amazon decided an order I placed was suspicious and locked my account. Password reset appears to work but still can't log in. Ugh.,NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,SECURITY_LOCKOUT,HARD,HIGH_RISK,Account flagged as suspicious and locked; password reset loop.
gold_0004,amazon_case_0063275,1402830,446165,"Unable to access my Amazon Account, contacted Customer care more than 5 times, still no luck, can some one help me here!",NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,REPEATED_FAILED_SUPPORT_ATTEMPTS,HARD,HIGH_RISK,"Customer unable to access account, contacted support >5 times without luck."
gold_0005,amazon_case_0058654,609461,264879,I can not access my amazon account.I have not made any request to change my password and email.But they have been changed.What to do,NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,HARD,HIGH_RISK,Unauthorized credential modification (email/password changed).
gold_0006,amazon_case_0027359,1089221,376967,"account hacked , my email account linked with amazon changed without authorisation. Need immediate help.",NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,HARD,HIGH_RISK,"Account hacked, linked email changed without authorization."
gold_0007,amazon_case_0163147,254636,176520,my amazon account got hacked wtf,NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,HARD,HIGH_RISK,Account hacked requiring urgent security team escalation.
gold_0008,amazon_case_0057021,1130558,386434,how can I get my account back???? Someone hacked my amaZon is there a number I can contact you.,NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,HARD,HIGH_RISK,"Account hijacked and locked out, requiring identity verification."
gold_0009,amazon_case_0048011,331572,194957,I can't sign in because my account has been locked... That's what I'm trying to solve,NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,SECURITY_LOCKOUT,HARD,HIGH_RISK,Account locked preventing sign-in.
gold_0010,amazon_case_0073376,1420095,450128,"My amazon account is locked since 27 of October, I sent four faxes, about 12 emails and called 9 times already. The account specialist send me the same email over and over again. Im tired of this, loosing prime days and I just have about 20 more days in the US.. Thanks .",NORMAL,False,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,REPEATED_FAILED_SUPPORT_ATTEMPTS,HARD,HIGH_RISK,Account locked since October; sent 4 faxes and 12 emails without resolution.
gold_0011,amazon_case_0021029,29999,122600,Is it necessary to send fax ?? Can't we send email with supporting documents ??,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
gold_0012,amazon_case_0028664,42519,125394,was expecting 2 packages by 16/10/17 - still not received. Ordered 10/10/17. Can you help?,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
gold_0013,amazon_case_0037171,54422,128317,people at +12062662992 not helpful at all.,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
gold_0014,amazon_case_0040497,58087,129186,can I DM you instead?,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
gold_0015,amazon_case_0041566,59537,129581,I got it sorted. Thanks for the help.,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
gold_0016,amazon_case_0046743,67460,131409,Thank you for the quick reply! Have a good week!,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
gold_0017,amazon_case_0049711,71834,132119,UPS website says delayed due to unexpected circumstances. Not very helpful.,AMBIGUOUS,False,,,,INITIAL_INQUIRY,False,,MEDIUM,AMBIGUOUS,Underspecified inquiry lacking order details or actionable problem statement; requires clarifying turn.
