gold_id,human_status,human_areas,human_intents,human_primary_intent,human_states,human_should_escalate,human_escalation_reason,human_notes,human_decision,human_override_reason
gold_0006,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0007,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0008,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0015,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0016,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0018,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0019,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0020,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0021,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0024,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0025,NORMAL,DELIVERY_AND_FULFILLMENT,DELIVERY_DELAYED,DELIVERY_DELAYED,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0032,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0050,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0054,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0064,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0098,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0102,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0105,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0106,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0113,NORMAL,ORDER_MANAGEMENT,CANCEL_ORDER_REQUEST,CANCEL_ORDER_REQUEST,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0114,AMBIGUOUS,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0141,OUT_OF_SCOPE,,,,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0167,NORMAL,REFUNDS_AND_BILLING,REFUND_STATUS_INQUIRY,REFUND_STATUS_INQUIRY,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
gold_0182,NORMAL,REFUNDS_AND_BILLING,UNRECOGNIZED_OR_DUPLICATE_CHARGE,UNRECOGNIZED_OR_DUPLICATE_CHARGE,INITIAL_INQUIRY,False,,Reviewed and accepted assistant recommendation.,ACCEPT,
